Date,Open,High,Low,Close,Predicted High,Predicted Low
20100101,1.43218,1.43356,1.43182,1.43335,1.44556,1.42559
20100104,1.43024,1.44556,1.42559,1.4412,1.44834,1.43445
20100105,1.44112,1.44834,1.43445,1.43639,1.44342,1.42807
20100106,1.4363,1.44342,1.42807,1.44062,1.44432,1.42976
20100107,1.44053,1.44432,1.42976,1.43045,1.44382,1.42616
20100108,1.43063,1.44382,1.42616,1.44083,1.45539,1.44049
20100111,1.44265,1.45539,1.44049,1.45111,1.45479,1.44507
20100112,1.45108,1.45479,1.44507,1.44816,1.45797,1.4455
20100113,1.44832,1.45797,1.4455,1.45082,1.45546,1.4445
20100114,1.45089,1.45546,1.4445,1.44969,1.45111,1.43347
20100115,1.4498,1.45111,1.43347,1.43849,1.43999,1.43325
20100118,1.4353,1.43999,1.43325,1.43815,1.44124,1.42498
20100119,1.43816,1.44124,1.42498,1.42855,1.42946,1.4078
20100120,1.42859,1.42946,1.4078,1.41051,1.41422,1.40247
20100121,1.41043,1.41422,1.40247,1.40826,1.41805,1.40649
20100122,1.40836,1.41805,1.40649,1.41361,1.41939,1.41248
20100125,1.41557,1.41939,1.41248,1.41491,1.4178,1.40397
20100126,1.41493,1.4178,1.40397,1.40698,1.40957,1.39944
20100127,1.40701,1.40957,1.39944,1.402,1.40516,1.39454
20100128,1.40216,1.40516,1.39454,1.39692,1.39861,1.38589
20100129,1.39686,1.39861,1.38589,1.38605,1.39366,1.38501
20100201,1.38608,1.39366,1.38501,1.39289,1.39748,1.3883
20100202,1.39292,1.39748,1.3883,1.39629,1.40247,1.38829
20100203,1.39632,1.40247,1.38829,1.38922,1.39022,1.37184
20100204,1.38916,1.39022,1.37184,1.37213,1.37448,1.35816
20100205,1.37218,1.37448,1.35816,1.36763,1.37128,1.36195
20100208,1.36553,1.37128,1.36195,1.36475,1.38385,1.364
20100209,1.36461,1.38385,1.364,1.37951,1.38112,1.36747
20100210,1.37961,1.38112,1.36747,1.37335,1.37999,1.3593
20100211,1.37336,1.37999,1.3593,1.36915,1.36937,1.35276
20100212,1.36919,1.36937,1.35276,1.36305,1.36323,1.35767
20100215,1.3624,1.36323,1.35767,1.35959,1.37778,1.35872
20100216,1.35972,1.37778,1.35872,1.37677,1.37892,1.35834
20100217,1.37696,1.37892,1.35834,1.36058,1.36529,1.35132
20100218,1.36034,1.36529,1.35132,1.35243,1.36172,1.34431
20100219,1.35232,1.36172,1.34431,1.36082,1.36534,1.35723
20100222,1.3633,1.36534,1.35723,1.35932,1.36917,1.3495
20100223,1.35939,1.36917,1.3495,1.3505,1.36253,1.34995
20100224,1.35055,1.36253,1.34995,1.35338,1.35696,1.34484
20100225,1.35352,1.35696,1.34484,1.35478,1.36825,1.35271
20100226,1.35452,1.36825,1.35271,1.3628,1.36538,1.34589
20100301,1.36207,1.36538,1.34589,1.35576,1.36207,1.34345
20100302,1.35589,1.36207,1.34345,1.36143,1.37356,1.35898
