Date,Open,High,Low,Close,Predicted High,Predicted Low
20100101,1.61675,1.61696,1.61487,1.61614,1.62415,1.60575
20100104,1.61034,1.62415,1.60575,1.6082,1.6153,1.5965
20100105,1.6082,1.6153,1.5965,1.599,1.60635,1.5937
20100106,1.59895,1.60635,1.5937,1.6017,1.60585,1.5896
20100107,1.6017,1.60585,1.5896,1.5929,1.611,1.5915
20100108,1.5929,1.611,1.5915,1.6021,1.61935,1.6043
20100111,1.60675,1.61935,1.6043,1.61125,1.61945,1.60615
20100112,1.61125,1.61945,1.60615,1.61615,1.6307,1.61365
20100113,1.61615,1.6307,1.61365,1.62785,1.63465,1.62495
20100114,1.62785,1.63465,1.62495,1.63325,1.63545,1.621
20100115,1.6333,1.63545,1.621,1.62615,1.6377,1.62495
20100118,1.62615,1.6377,1.62495,1.634,1.64575,1.63115
20100119,1.6339,1.64575,1.63115,1.63595,1.63715,1.6243
20100120,1.636,1.63715,1.6243,1.6289,1.63115,1.61245
20100121,1.6289,1.63115,1.61245,1.61935,1.62835,1.6077
20100122,1.61935,1.62835,1.6077,1.61115,1.6261,1.6088
20100125,1.6101,1.6261,1.6088,1.62445,1.6268,1.6093
20100126,1.6243,1.6268,1.6093,1.61405,1.6244,1.61065
20100127,1.61405,1.6244,1.61065,1.61665,1.62755,1.6112
20100128,1.61665,1.62755,1.6112,1.61355,1.6179,1.59775
20100129,1.6135,1.6179,1.59775,1.59883,1.59785,1.58505
20100201,1.5944,1.59785,1.58505,1.59565,1.5995,1.5902
20100202,1.59555,1.5995,1.5902,1.5973,1.6069,1.5876
20100203,1.5973,1.6069,1.5876,1.58905,1.59185,1.573
20100204,1.58905,1.59185,1.573,1.57515,1.5775,1.5558
20100205,1.57515,1.5775,1.5558,1.5638,1.56595,1.55335
20100208,1.5589,1.56595,1.55335,1.55835,1.57475,1.5561
20100209,1.55835,1.57475,1.5561,1.5717,1.5765,1.55715
20100210,1.5717,1.5765,1.55715,1.5594,1.57175,1.5559
20100211,1.5594,1.57175,1.5559,1.5704,1.57405,1.558
20100212,1.5704,1.57405,1.558,1.5698,1.57205,1.5612
20100215,1.56805,1.57205,1.5612,1.56575,1.5795,1.5627
20100216,1.56575,1.5795,1.5627,1.57905,1.58155,1.56653
20100217,1.57905,1.58155,1.56653,1.567,1.5687,1.5496
20100218,1.567,1.5687,1.5496,1.55285,1.554,1.53505
20100219,1.55275,1.554,1.53505,1.547,1.55205,1.54305
20100222,1.5474,1.55205,1.54305,1.548,1.5575,1.5393
20100223,1.5479,1.5575,1.5393,1.5421,1.5476,1.53855
20100224,1.542,1.5476,1.53855,1.54075,1.5422,1.5188
20100225,1.54075,1.5422,1.5188,1.52625,1.53165,1.51515
20100226,1.52625,1.53165,1.51515,1.52347,1.5203,1.47805
20100301,1.5154,1.5203,1.47805,1.4989,1.49985,1.4854
20100302,1.49885,1.49985,1.4854,1.497,1.51305,1.49575
20100303,1.497,1.51305,1.49575,1.5097,1.51355,1.50055
20100304,1.5097,1.51355,1.50055,1.503,1.51665,1.4992
