Date,Open,High,Low,Close,Predicted High,Predicted Low
20100101,1.05158,1.05168,1.05129,1.05155,1.05178,1.0351
20100104,1.05125,1.05178,1.0351,1.04155,1.04195,1.03345
20100105,1.0413,1.04195,1.03345,1.0388,1.04085,1.0312
20100106,1.0388,1.04085,1.0312,1.0322,1.0373,1.0291
20100107,1.0322,1.0373,1.0291,1.0345,1.03835,1.02945
20100108,1.0343,1.03835,1.02945,1.02965,1.03435,1.02515
20100111,1.02745,1.03435,1.02515,1.0333,1.04135,1.03125
20100112,1.0333,1.04135,1.03125,1.0387,1.0411,1.0289
20100113,1.03865,1.0411,1.0289,1.0305,1.03215,1.02235
20100114,1.0306,1.03215,1.02235,1.02315,1.03135,1.02297
20100115,1.02315,1.03135,1.02297,1.02875,1.0314,1.02472
20100118,1.0296,1.0314,1.02472,1.0259,1.03475,1.02453
20100119,1.0259,1.03475,1.02453,1.0312,1.0488,1.03
20100120,1.03115,1.0488,1.03,1.04625,1.0524,1.0437
20100121,1.04625,1.0524,1.0437,1.05225,1.0602,1.04604
20100122,1.0522,1.0602,1.04604,1.0576,1.0612,1.05325
20100125,1.05795,1.0612,1.05325,1.0575,1.06915,1.05426
20100126,1.0575,1.06915,1.05426,1.06255,1.06875,1.0608
20100127,1.0625,1.06875,1.0608,1.064,1.06685,1.0556
20100128,1.06395,1.06685,1.0556,1.06615,1.07045,1.06225
20100129,1.06615,1.07045,1.06225,1.0702,1.0721,1.0603
20100201,1.0703,1.0721,1.0603,1.0603,1.0639,1.0564
20100202,1.0604,1.0639,1.0564,1.05685,1.06345,1.05445
20100203,1.05675,1.06345,1.05445,1.0624,1.0752,1.05955
20100204,1.0624,1.0752,1.05955,1.0742,1.078,1.06435
20100205,1.07415,1.078,1.06435,1.0715,1.07565,1.0656
20100208,1.0685,1.07565,1.0656,1.07565,1.0773,1.0644
20100209,1.07565,1.0773,1.0644,1.0654,1.07075,1.0597
20100210,1.06535,1.07075,1.0597,1.06185,1.0627,1.04785
20100211,1.06185,1.0627,1.04785,1.04975,1.0578,1.04875
20100212,1.0494,1.0578,1.04875,1.05005,1.0532,1.0462
20100215,1.05065,1.0532,1.0462,1.0489,1.0498,1.04095
20100216,1.0488,1.0498,1.04095,1.0425,1.04705,1.04115
20100217,1.04265,1.04705,1.04115,1.0461,1.0497,1.03965
20100218,1.04605,1.0497,1.03965,1.0468,1.05295,1.0388
20100219,1.04685,1.05295,1.0388,1.039,1.04405,1.03688
20100222,1.0381,1.04405,1.03688,1.0428,1.0579,1.03805
20100223,1.04275,1.0579,1.03805,1.0563,1.05935,1.05095
20100224,1.0564,1.05935,1.05095,1.05345,1.068,1.05125
20100225,1.05345,1.068,1.05125,1.0604,1.06175,1.0509
20100226,1.0604,1.06175,1.0509,1.0512,1.05725,1.04095
20100301,1.05435,1.05725,1.04095,1.04125,1.0442,1.0308
20100302,1.04125,1.0442,1.0308,1.03555,1.0364,1.0274
20100303,1.0352,1.0364,1.0274,1.0317,1.0339,1.02695
20100304,1.0317,1.0339,1.02695,1.0315,1.03305,1.02605
20100305,1.03145,1.03305,1.02605,1.0282,1.02935,1.025
20100308,1.028,1.02935,1.025,1.02695,1.0319,1.02345
20100309,1.02695,1.0319,1.02345,1.02595,1.02905,1.0216
20100310,1.0259,1.02905,1.0216,1.02465,1.0321,1.02285
20100311,1.0242,1.0321,1.02285,1.02395,1.02495,1.0154
20100312,1.0236,1.02495,1.0154,1.019,1.01763,1.01618
20100314,1.01747,1.01763,1.01618,1.01661,1.02315,1.0164
20100315,1.0171,1.02315,1.0164,1.01872,1.0202,1.01316
20100316,1.01895,1.0202,1.01316,1.01375,1.01455,1.00705
20100317,1.01375,1.01455,1.00705,1.01005,1.01505,1.0089
20100318,1.01,1.01505,1.0089,1.01435,1.0188,1.00615
20100319,1.0143,1.0188,1.00615,1.0171,1.01683,1.01462
20100321,1.0155,1.01683,1.01462,1.01575,1.02435,1.01455
20100322,1.0157,1.02435,1.01455,1.01795,1.0228,1.0151
20100323,1.018,1.0228,1.0151,1.0164,1.02815,1.01565
20100324,1.0164,1.02815,1.01565,1.0245,1.0252,1.017
20100325,1.0247,1.0252,1.017,1.02388,1.03025,1.0204
20100326,1.02415,1.03025,1.0204,1.0264,1.02725,1.0176
20100329,1.02525,1.02725,1.0176,1.02095,1.02225,1.0157
20100330,1.0209,1.02225,1.0157,1.0198,1.02015,1.01275
20100331,1.01975,1.02015,1.01275,1.01505,1.0162,1.0066
20100401,1.01505,1.0162,1.0066,1.0084,1.0129,1.008
20100402,1.0084,1.0129,1.008,1.0104,1.00885,1.001
20100405,1.00832,1.00885,1.001,1.00195,1.0047,0.9987
20100406,1.00185,1.0047,0.9987,1.00145,1.0061,0.9977
20100407,1.00145,1.0061,0.9977,1.0061,1.01045,1.00175
20100408,1.00615,1.01045,1.00175,1.00205,1.00825,0.9991
20100409,1.00205,1.00825,0.9991,1.0021,1.00875,1.0009
20100412,1.00206,1.00875,1.0009,1.0023,1.0065,1.0003
20100413,1.0023,1.0065,1.0003,1.00095,1.0019,0.9952
20100414,1.00085,1.0019,0.9952,0.9985,1.0035,0.99582
20100415,0.99855,1.0035,0.99582,1.00195,1.0163,1.0003
20100416,1.00185,1.0163,1.0003,1.01255,1.0215,1.01355
20100419,1.0144,1.0215,1.01355,1.0143,1.0163,0.99705
20100420,1.01405,1.0163,0.99705,0.99845,1.0013,0.993
20100421,0.99845,1.0013,0.993,0.99955,1.0039,0.996
20100422,0.99955,1.0039,0.996,1.00015,1.00645,0.99675
20100423,1.00015,1.00645,0.99675,0.9988,1.0023,0.99705
20100426,0.99947,1.0023,0.99705,1.00085,1.01805,0.99977
20100427,1.0008,1.01805,0.99977,1.0175,1.01965,1.0073
20100428,1.01745,1.01965,1.0073,1.0096,1.01125,1.00125
20100429,1.0095,1.01125,1.00125,1.00495,1.01775,1.00155
20100430,1.00485,1.01775,1.00155,1.0176,1.01855,1.01005
20100503,1.01742,1.01855,1.01005,1.0106,1.0256,1.01003
20100504,1.01055,1.0256,1.01003,1.0246,1.03535,1.02315
20100505,1.0247,1.03535,1.02315,1.03055,1.074,1.02815
20100506,1.03045,1.074,1.02815,1.0521,1.05705,1.0337
20100507,1.0521,1.05705,1.0337,1.043,1.03905,1.02095
20100510,1.0338,1.03905,1.02095,1.02305,1.02875,1.0148
20100511,1.02295,1.02875,1.0148,1.02185,1.0246,1.0153
20100512,1.0218,1.0246,1.0153,1.01915,1.0208,1.011
20100513,1.01915,1.0208,1.011,1.0198,1.03775,1.0192
20100514,1.0198,1.03775,1.0192,1.0353,1.0438,1.0318
20100517,1.03335,1.0438,1.0318,1.0323,1.041,1.02455
20100518,1.0323,1.041,1.02455,1.03915,1.05365,1.0378
20100519,1.03915,1.05365,1.0378,1.0435,1.0719,1.04025
20100520,1.0435,1.0719,1.04025,1.0699,1.07495,1.05505
20100521,1.0699,1.07495,1.05505,1.05905,1.06595,1.05335
20100524,1.06026,1.06595,1.05335,1.0624,1.08525,1.06185
20100525,1.0624,1.08525,1.06185,1.06725,1.0744,1.0579
20100526,1.06725,1.0744,1.0579,1.07065,1.07185,1.04795
20100527,1.07065,1.07185,1.04795,1.04795,1.0558,1.0444
20100528,1.04795,1.0558,1.0444,1.05445,1.05515,1.04125
20100531,1.05208,1.05515,1.04125,1.04425,1.0562,1.042
20100601,1.0439,1.0562,1.042,1.05505,1.05715,1.03715
20100602,1.0552,1.05715,1.03715,1.0381,1.04625,1.03335
20100603,1.0381,1.04625,1.03335,1.04005,1.0626,1.0354
20100604,1.04005,1.0626,1.0354,1.0626,1.0679,1.0515
20100607,1.06228,1.0679,1.0515,1.06155,1.0617,1.04685
20100608,1.06155,1.0617,1.04685,1.04725,1.05165,1.03645
20100609,1.04725,1.05165,1.03645,1.04435,1.0452,1.0287
20100610,1.04435,1.0452,1.0287,1.02965,1.03885,1.0294
20100611,1.0294,1.03885,1.0294,1.0322,1.03485,1.0224
20100614,1.03133,1.03485,1.0224,1.0336,1.0361,1.0241
20100615,1.03355,1.0361,1.0241,1.02525,1.0323,1.0224
20100616,1.02505,1.0323,1.0224,1.0241,1.03375,1.02245
20100617,1.0241,1.03375,1.02245,1.028,1.0312,1.02065
20100618,1.0279,1.0312,1.02065,1.0215,1.02605,1.0138
20100621,1.01873,1.02605,1.0138,1.0241,1.02945,1.0181
20100622,1.0241,1.02945,1.0181,1.0294,1.0459,1.0271
20100623,1.0294,1.0459,1.0271,1.03955,1.04685,1.0374
20100624,1.0394,1.04685,1.0374,1.04275,1.04415,1.034
20100625,1.0427,1.04415,1.034,1.0348,1.03715,1.03205
20100628,1.03425,1.03715,1.03205,1.0355,1.0576,1.03396
20100629,1.0355,1.0576,1.03396,1.05575,1.06475,1.04665
20100630,1.05575,1.06475,1.04665,1.06375,1.06735,1.0577
20100701,1.0634,1.06735,1.0577,1.05945,1.06675,1.05565
20100702,1.05905,1.06675,1.05565,1.06215,1.0676,1.0576
20100705,1.06148,1.0676,1.0576,1.063,1.0676,1.0485
20100706,1.0629,1.0676,1.0485,1.0542,1.06055,1.04645
20100707,1.054,1.06055,1.04645,1.04645,1.0485,1.0379
20100708,1.0462,1.0485,1.0379,1.04195,1.04545,1.02955
20100709,1.0417,1.04545,1.02955,1.03355,1.0386,1.02995
20100712,1.03185,1.0386,1.02995,1.037,1.0385,1.0275
20100713,1.0369,1.0385,1.0275,1.02995,1.03705,1.0285
20100714,1.02975,1.03705,1.0285,1.03245,1.04425,1.0283
20100715,1.03225,1.04425,1.0283,1.03805,1.05775,1.0377
20100716,1.038,1.05775,1.0377,1.05775,1.058,1.0499
20100719,1.05588,1.058,1.0499,1.0548,1.0586,1.043
20100720,1.0548,1.0586,1.043,1.0433,1.0501,1.0351
20100721,1.04305,1.0501,1.0351,1.04875,1.05035,1.03555
20100722,1.0487,1.05035,1.03555,1.03705,1.0437,1.03455
20100723,1.03705,1.0437,1.03455,1.0353,1.03868,1.0303
20100726,1.0371,1.03868,1.0303,1.0322,1.03955,1.02555
20100727,1.0322,1.03955,1.02555,1.0352,1.039,1.0298
20100728,1.035,1.039,1.0298,1.0387,1.0391,1.0303
20100729,1.0387,1.0391,1.0303,1.03685,1.03755,1.02635
20100730,1.03685,1.03755,1.02635,1.02955,1.02982,1.0204
20100802,1.02831,1.02982,1.0204,1.0228,1.0273,1.0219
20100803,1.02275,1.0273,1.0219,1.02325,1.0271,1.0163
20100804,1.02325,1.0271,1.0163,1.018,1.0187,1.01065
20100805,1.01795,1.0187,1.01065,1.01665,1.03065,1.01465
20100806,1.0166,1.03065,1.01465,1.02715,1.02995,1.02565
20100809,1.02671,1.02995,1.02565,1.02695,1.03885,1.02652
20100810,1.02695,1.03885,1.02652,1.0311,1.04745,1.03011
20100811,1.0312,1.04745,1.03011,1.04625,1.04945,1.0421
20100812,1.04625,1.04945,1.0421,1.0423,1.04385,1.035
20100813,1.0423,1.04385,1.035,1.0416,1.04645,1.037
20100816,1.04115,1.04645,1.037,1.0433,1.0438,1.03085
20100817,1.0433,1.0438,1.03085,1.0319,1.0341,1.027
20100818,1.0319,1.0341,1.027,1.02945,1.04155,1.02475
20100819,1.02945,1.04155,1.02475,1.0402,1.0514,1.03825
20100820,1.0402,1.0514,1.03825,1.0473,1.05295,1.0444
20100823,1.04898,1.05295,1.0444,1.05205,1.0664,1.051
20100824,1.05205,1.0664,1.051,1.06135,1.06675,1.0573
20100825,1.06135,1.06675,1.0573,1.0595,1.0604,1.0521
20100826,1.0595,1.0604,1.0521,1.05775,1.0648,1.05045
20100827,1.05775,1.0648,1.05045,1.05075,1.0604,1.0472
20100830,1.0489,1.0604,1.0472,1.05975,1.06725,1.0575
20100831,1.0597,1.06725,1.0575,1.0656,1.0656,1.0484
20100901,1.0656,1.0656,1.0484,1.0497,1.0555,1.04715
20100902,1.0497,1.0555,1.04715,1.05235,1.05685,1.038
