Date,Open,High,Low,Close,Predicted High,Predicted Low
20100104,92.975,93.21,92.185,92.495,92.545,91.24
20100105,92.49,92.545,91.24,91.69,92.74,91.52
20100106,91.695,92.74,91.52,92.31,93.4,92.1
20100107,92.305,93.4,92.1,93.365,93.765,92.28
20100108,93.36,93.765,92.28,92.65,92.66,91.81
20100111,92.58,92.66,91.81,92.075,92.425,90.72
20100112,92.07,92.425,90.72,90.97,91.56,90.9
20100113,90.965,91.56,90.9,91.365,92.04,90.84
20100114,91.36,92.04,90.84,91.2,91.315,90.6
20100115,91.195,91.315,90.6,90.75,91.06,90.62
20100118,90.745,91.06,90.62,90.78,91.26,90.315
20100119,90.775,91.26,90.315,91.135,91.46,90.79
20100120,91.13,91.46,90.79,91.21,91.87,90.11
20100121,91.22,91.87,90.11,90.42,90.565,89.78
20100122,90.425,90.565,89.78,89.81,90.335,89.81
20100125,90.255,90.335,89.81,90.27,90.55,89.335
20100126,90.265,90.55,89.335,89.635,90.08,89.135
20100127,89.645,90.08,89.135,89.995,90.55,89.625
20100128,89.995,90.55,89.625,89.905,90.92,89.585
20100129,89.9,90.92,89.585,90.26,90.945,89.85
20100201,89.875,90.945,89.85,90.605,90.91,90.265
20100202,90.6,90.91,90.265,90.385,91.275,90.075
20100203,90.37,91.275,90.075,90.975,91.075,88.55
20100204,90.975,91.075,88.55,89.025,89.885,88.815
20100205,89.01,89.885,88.815,89.22,89.56,89.14
20100208,89.485,89.56,89.14,89.25,89.805,89.145
20100209,89.245,89.805,89.145,89.675,90.06,89.235
20100210,89.675,90.06,89.235,89.925,90.14,89.57
20100211,89.925,90.14,89.57,89.755,90.42,89.59
20100212,89.755,90.42,89.59,89.92,90.23,89.91
20100215,90.12,90.23,89.91,90,90.51,89.71
20100216,89.995,90.51,89.71,90.13,91.375,90.12
20100217,90.125,91.375,90.12,91.24,91.815,90.57
20100218,91.235,91.815,90.57,91.795,92.145,91.47
20100219,91.79,92.145,91.47,91.5,91.9,91.02
20100222,91.43,91.9,91.02,91.135,91.29,89.92
20100223,91.135,91.29,89.92,90.21,90.36,89.76
20100224,90.205,90.36,89.76,90.13,90.315,88.8
20100225,90.13,90.315,88.8,89.065,89.5,88.74
20100226,89.065,89.5,88.74,88.935,89.475,88.81
20100301,88.845,89.475,88.81,89.125,89.37,88.55
20100302,89.115,89.37,88.55,88.845,88.99,88.32
20100303,88.84,88.99,88.32,88.45,89.25,88.135
20100304,88.45,89.25,88.135,89.015,90.585,88.975
20100305,89,90.585,88.975,90.26,90.675,90.15
20100308,90.445,90.675,90.15,90.3,90.325,89.63
20100309,90.295,90.325,89.63,89.965,90.82,89.84
20100310,89.95,90.82,89.84,90.5,90.71,90.205
20100311,90.5,90.71,90.205,90.5,91.085,90.165
20100312,90.495,91.085,90.165,90.54,90.8,90.35
20100315,90.61,90.8,90.35,90.475,90.73,89.96
20100316,90.475,90.73,89.96,90.25,90.71,90.03
20100317,90.245,90.71,90.03,90.305,90.8,89.75
20100318,90.305,90.8,89.75,90.355,90.715,90.33
20100319,90.355,90.715,90.33,90.525,90.77,89.83
20100322,90.495,90.77,89.83,90.075,90.465,90.055
20100323,90.07,90.465,90.055,90.45,92.4,90.345
20100324,90.445,92.4,90.345,92.165,92.95,91.76
20100325,92.17,92.95,91.76,92.67,92.89,92.3
20100326,92.67,92.89,92.3,92.49,92.78,92.32
20100329,92.44,92.78,92.32,92.455,93.02,92.12
20100330,92.455,93.02,92.12,92.755,93.635,92.745
20100331,92.745,93.635,92.745,93.45,94.04,93.28
20100401,93.45,94.04,93.28,93.81,94.69,93.555
20100402,93.805,94.69,93.555,94.605,94.775,94.08
20100405,94.65,94.775,94.08,94.35,94.38,93.655
20100406,94.35,94.38,93.655,93.78,94.265,93.145
20100407,93.78,94.265,93.145,93.34,93.48,92.825
20100408,93.34,93.48,92.825,93.375,93.78,93.105
20100409,93.37,93.78,93.105,93.16,93.605,92.885
20100412,92.93,93.605,92.885,93.23,93.41,92.57
20100413,93.23,93.41,92.57,93.19,93.725,92.825
20100414,93.185,93.725,92.825,93.215,93.52,92.87
20100415,93.215,93.52,92.87,93.025,93.135,91.895
20100416,93.025,93.135,91.895,92.155,92.465,91.595
20100419,91.84,92.465,91.595,92.385,93.39,92.38
20100420,92.38,93.39,92.38,93.21,93.44,92.93
20100421,93.205,93.44,92.93,93.18,93.61,92.74
20100422,93.17,93.61,92.74,93.48,94.32,93.31
20100423,93.48,94.32,93.31,93.945,94.355,93.925
20100426,93.955,94.355,93.925,93.955,94.03,92.81
20100427,93.945,94.03,92.81,93.25,94.315,92.99
20100428,93.25,94.315,92.99,94.02,94.26,93.85
20100429,94.02,94.26,93.85,94.01,94.58,93.815
20100430,94.01,94.58,93.815,93.815,94.79,93.825
20100503,93.83,94.79,93.825,94.525,94.975,94.315
20100504,94.525,94.975,94.315,94.53,94.98,93.535
20100505,94.53,94.98,93.535,93.805,93.97,87.94
20100506,93.805,93.97,87.94,90.565,93.23,90
20100507,90.555,93.23,90,91.56,93.535,91.66
20100510,92.36,93.535,91.66,93.28,93.385,92.21
20100511,93.27,93.385,92.21,92.63,93.28,92.44
20100512,92.63,93.28,92.44,93.235,93.635,92.58
20100513,93.235,93.635,92.58,92.745,93.085,91.785
20100514,92.735,93.085,91.785,92.495,92.69,91.755
20100517,92.185,92.69,91.755,92.58,92.96,92.11
20100518,92.575,92.96,92.11,92.225,92.245,90.95
20100519,92.225,92.245,90.95,91.685,91.875,88.95
20100520,91.685,91.875,88.95,89.67,90.475,89.03
