Date,Open,High,Low,Close,Volume,Predicted High,Predicted Low
20100101,1096.056,1096.34,1095.857,1096.099,6.658454016,1123.295,1092.987
20100104,1096.072,1123.295,1092.987,1120.867,16.01133003,1127.532,1114.864
20100105,1120.855,1127.532,1114.864,1117.516,17.39099903,1140.02,1115.377
20100106,1117.34,1140.02,1115.377,1137.557,16.85487403,1137.947,1128.074
20100107,1137.573,1137.947,1128.074,1131.071,17.30441304,1138.419,1119.287
20100108,1130.941,1138.419,1119.287,1136.717,17.35819604,1160.949,1136.75
20100111,1139.059,1160.949,1136.75,1151.178,15.93530303,1157.604,1125.446
20100112,1151.162,1157.604,1125.446,1127.656,17.12624904,1138.288,1119.245
20100113,1127.607,1138.288,1119.245,1137.468,16.59576604,1145.59,1130.439
20100114,1137.489,1145.59,1130.439,1142.2,17.28065004,1145.088,1126.828
20100115,1142.214,1145.088,1126.828,1129.598,16.80077704,1136.862,1126.636
20100118,1129.57,1136.862,1126.636,1133.447,15.58959303,1140.016,1128.284
20100119,1133.415,1140.016,1128.284,1137.776,17.69767204,1141.058,1106.993
20100120,1137.726,1141.058,1106.993,1110.669,17.43452803,1117.198,1089.162
20100121,1110.709,1117.198,1089.162,1093.723,17.74582104,1098.196,1081.867
20100122,1093.751,1098.196,1081.867,1092.037,17.90068904,1103.651,1089.494
20100125,1091.373,1103.651,1089.494,1097.795,16.39495103,1102.972,1085.536
20100126,1097.792,1102.972,1085.536,1097.057,17.55380904,1101.852,1083.005
20100127,1097.076,1101.852,1083.005,1087.572,17.23896504,1095.433,1074.105
20100128,1087.386,1095.433,1074.105,1086.156,17.91288505,1089.259,1074.149
20100129,1086.117,1089.259,1074.149,1080.525,17.43856004,1107.084,1076.047
20100201,1078.984,1107.084,1076.047,1104.883,16.74692703,1117.679,1098.554
20100202,1105.051,1117.679,1098.554,1113.9,18.07654804,1124.254,1106.783
20100203,1113.867,1124.254,1106.783,1109.285,17.61029704,1110.719,1059.334
20100204,1109.125,1110.719,1059.334,1062.851,17.98391604,1068.206,1044.703
20100205,1062.816,1068.206,1044.703,1065.619,18.07758204,1073.196,1061.639
20100208,1065.347,1073.196,1061.639,1062.426,16.51065303,1082.715,1061.33
20100209,1062.402,1082.715,1061.33,1077.598,17.74943104,1081.791,1062.835
20100210,1077.652,1081.791,1062.835,1071.551,17.30337804,1097.383,1069.944
20100211,1071.551,1097.383,1069.944,1094.82,18.07668504,1096.478,1077.573
20100212,1094.908,1096.478,1077.573,1093.024,17.40325704,1101.634,1091.194
20100215,1093.055,1101.634,1091.194,1100.451,15.85760603,1120.586,1097.48
20100216,1100.483,1120.586,1097.48,1118.928,18.61082204,1126.65,1104.888
20100217,1118.804,1126.65,1104.888,1106.379,18.05161904,1123.696,1097.694
20100218,1106.265,1123.696,1097.694,1108.308,18.65420504,1125.768,1099.107
20100219,1108.235,1125.768,1099.107,1118.786,18.82777105,1130.283,1109.764
20100222,1117.198,1130.283,1109.764,1113.645,17.14165903,1120.402,1099.013
20100223,1113.729,1120.402,1099.013,1102.706,18.36306304,1107.708,1089.682
20100224,1102.789,1107.708,1089.682,1097.153,18.08059904,1108.379,1088.036
20100225,1097.08,1108.379,1088.036,1105.943,18.69294804,1118.4,1103.658
20100226,1105.996,1118.4,1103.658,1117.161,18.33317204,1123.064,1111.732
20100301,1115.898,1123.064,1111.732,1118.351,17.15968303,1137.118,1114.27
20100302,1118.34,1137.118,1114.27,1134.064,18.83756604,1144.591,1131.292
20100303,1134.06,1144.591,1131.292,1139.299,18.05010903,1140.967,1125.587
20100304,1139.258,1140.967,1125.587,1131.722,18.76681504,1140.135,1127.616
20100305,1131.546,1140.135,1127.616,1134.198,18.70633204,1137.359,1118.171
20100308,1133.514,1137.359,1118.171,1123.106,17.42041203,1124.539,1109.226
20100309,1123.034,1124.539,1109.226,1121.215,18.43686604,1127.707,1103.295
20100310,1121.215,1127.707,1103.295,1107.776,18.35717504,1111.326,1100.342
20100311,1107.84,1111.326,1100.342,1108.935,18.78868104,1118.936,1098.291
20100312,1108.987,1118.936,1098.291,1101.236,18.64688204,1101.754,1099.02
20100314,1099.22,1101.754,1099.02,1101.046,0.13853,1109.387,1099.748
20100315,1101.03,1109.387,1099.748,1108.635,17.54813904,1127.957,1107.759
20100316,1108.563,1127.957,1107.759,1125.317,18.98895704,1132.433,1117.995
20100317,1125.195,1132.433,1117.995,1124.189,18.37410203,1128.797,1117.861
20100318,1123.949,1128.797,1117.861,1120.966,18.96434204,1126.605,1101.237
20100319,1120.98,1126.605,1101.237,1106.416,18.32477704,1106.843,1106.148
20100321,1106.272,1106.843,1106.148,1106.409,0.09941,1108.283,1092.529
20100322,1106.423,1108.283,1092.529,1103.286,17.26979704,1107.314,1094.222
20100323,1102.972,1107.314,1094.222,1102.856,19.20380204,1105.148,1084.702
20100324,1102.624,1105.148,1084.702,1087.142,18.41069404,1095.304,1084.936
20100325,1086.859,1095.304,1084.936,1090.104,19.00631504,1108.609,1088.05
20100326,1090.207,1108.609,1088.05,1106.824,18.58918704,1114.248,1102.761
20100329,1106.362,1114.248,1102.761,1109.249,17.69060404,1113.005,1101.562
20100330,1109.283,1113.005,1101.562,1103.061,19.11985704,1117.677,1101.502
20100331,1103.094,1117.677,1101.502,1112.534,18.39388803,1127.539,1111.103
20100401,1112.704,1127.539,1111.103,1126.062,18.97213204,1126.65,1117.071
20100402,1126.07,1126.65,1117.071,1120.898,17.38461704,1132.98,1118.874
20100405,1120.23,1132.98,1118.874,1131.404,20.08610204,1138.291,1122.463
20100406,1131.394,1138.291,1122.463,1133.712,21.99480005,1152.565,1132.236
20100407,1133.698,1152.565,1132.236,1148.879,21.44027504,1153.249,1142.77
20100408,1148.929,1153.249,1142.77,1150.138,22.44200305,1163.754,1148.83
20100409,1150.02,1163.754,1148.83,1161.299,21.95890605,1169.368,1153.769
20100412,1159.648,1169.368,1153.769,1155.958,20.37805104,1156.872,1144.47
20100413,1156.181,1156.872,1144.47,1150.03,22.79722405,1161.697,1149.148
20100414,1150.198,1161.697,1149.148,1154.92,21.64846505,1161.297,1149.848
20100415,1154.947,1161.297,1149.848,1158.53,22.55612405,1160.197,1129.144
20100416,1158.598,1160.197,1129.144,1136.998,22.71895505,1137.392,1123.126
20100419,1133.442,1137.392,1123.126,1135.244,20.30127604,1145.566,1132.965
20100420,1135.258,1145.566,1132.965,1140.277,22.52285505,1149.595,1137.078
20100421,1140.254,1149.595,1137.078,1146.136,21.52227004,1149.056,1131.799
20100422,1146.117,1149.056,1131.799,1141.055,22.71949305,1157.329,1134.604
20100423,1140.925,1157.329,1134.604,1157.015,22.30583905,1159.451,1150.443
20100426,1156.97,1159.451,1150.443,1153.155,21.07498704,1171.73,1146.131
20100427,1153.224,1171.73,1146.131,1167.197,23.29081505,1173.652,1160.469
20100428,1167.356,1173.652,1160.469,1165.143,22.38758505,1170.754,1162.032
20100429,1165.334,1170.754,1162.032,1166.445,23.01766605,1181.253,1164.276
20100430,1166.406,1181.253,1164.276,1178.544,23.11988206,1187.373,1175.649
20100503,1177.919,1187.373,1175.649,1181.81,20.93748603,1191.942,1166.585
20100504,1181.895,1191.942,1166.585,1170.607,23.02846305,1176.345,1157.506
20100505,1170.748,1176.345,1157.506,1174.777,22.38387805,1209.579,1171.933
20100506,1174.766,1209.579,1171.933,1207.681,23.40699906,1212.467,1192.389
20100507,1207.812,1212.467,1192.389,1207.726,22.85015004,1207.702,1184.156
20100510,1207.52,1207.702,1184.156,1202.457,21.51939304,1233.67,1200.285
20100511,1202.534,1233.67,1200.285,1232.23,23.46181905,1247.897,1226.01
20100512,1232.203,1247.897,1226.01,1238.378,22.68513905,1242.507,1226.885
20100513,1238.42,1242.507,1226.885,1232.395,23.34680804,1248.756,1218.47
20100514,1232.386,1248.756,1218.47,1231.023,23.58663905,1241.89,1218.983
20100517,1229.697,1241.89,1218.983,1221.975,21.05339805,1228.445,1206.321
20100518,1221.863,1228.445,1206.321,1224.585,23.20863105,1227.175,1186.452
20100519,1224.546,1227.175,1186.452,1193.161,22.37860005,1197.536,1174.409
20100520,1192.953,1197.536,1174.409,1181.937,23.61999306,1187.333,1166.476
20100521,1181.864,1187.333,1166.476,1176.334,22.98261505,1196.421,1174.834
20100524,1177.257,1196.421,1174.834,1191.125,21.80419104,1203.525,1185.012
20100525,1191.216,1203.525,1185.012,1203.459,23.71624205,1216.169,1199.725
20100526,1203.609,1216.169,1199.725,1211.17,22.84164105,1217.782,1205.082
20100527,1211.083,1217.782,1205.082,1211.422,23.51833305,1214.837,1201.745
20100528,1211.513,1214.837,1201.745,1213.667,23.77555005,1217.526,1208.898
20100531,1212.558,1217.526,1208.898,1215.68,20.64314304,1228.092,1213.693
20100601,1215.648,1228.092,1213.693,1225.253,25.34323305,1226.665,1213.53
